frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
270,50.294317,18.673274,15.0,1,996,938,1086,1013,50.294268,18.673288,0.8158
271,50.294317,18.673274,15.0,1,998,940,1088,1018,50.294267,18.673288,0.8246
272,50.294317,18.673274,15.0,1,1002,945,1094,1020,50.294267,18.673289,0.8273
273,50.294317,18.673274,15.0,1,1006,946,1096,1022,50.294267,18.67329,0.8233
274,50.294317,18.673274,15.0,1,1008,949,1100,1024,50.294266,18.67329,0.8626
275,50.294317,18.673274,15.0,1,1012,952,1100,1027,50.294266,18.67329,0.8592
276,50.294317,18.673274,15.0,1,1014,952,1106,1030,50.294266,18.673291,0.8543
277,50.294317,18.673274,15.0,1,1018,955,1108,1031,50.294265,18.673292,0.8407
278,50.294317,18.673274,15.0,1,1022,956,1112,1032,50.294265,18.673292,0.8169
279,50.294317,18.673274,15.0,1,1024,959,1116,1035,50.294265,18.673293,0.8165
280,50.294317,18.673274,15.0,1,1028,961,1120,1038,50.294265,18.673294,0.7954
281,50.294317,18.673274,15.0,1,1030,963,1122,1040,50.294265,18.673294,0.8153
282,50.294317,18.673274,15.0,1,1034,964,1124,1042,50.294264,18.673294,0.8099
283,50.294317,18.673274,15.0,1,1036,964,1126,1044,50.294264,18.673295,0.8431
284,50.294317,18.673274,15.0,1,1040,966,1130,1045,50.294264,18.673295,0.8686
285,50.294317,18.673274,15.0,1,1044,968,1132,1047,50.294264,18.673296,0.8614
286,50.294317,18.673274,15.0,1,1044,968,1134,1048,50.294264,18.673296,0.8558
287,50.294317,18.673274,15.0,1,1050,969,1138,1049,50.294264,18.673297,0.8468
288,50.294317,18.673274,15.0,1,1054,970,1144,1050,50.294264,18.673298,0.807
289,50.294317,18.673274,15.0,1,1058,972,1146,1051,50.294263,18.673298,0.8225
290,50.294317,18.673274,15.0,1,1060,972,1148,1053,50.294263,18.673299,0.8162
291,50.294317,18.673274,15.0,1,1062,974,1150,1055,50.294263,18.673299,0.8225
292,50.294317,18.673274,15.0,1,1064,975,1154,1056,50.294263,18.6733,0.805
293,50.294317,18.673274,15.0,1,1070,975,1158,1057,50.294263,18.6733,0.8159
294,50.294317,18.673274,15.0,1,1072,975,1160,1057,50.294263,18.673301,0.8447
295,50.294317,18.673274,15.0,1,1076,976,1162,1059,50.294263,18.673301,0.8414
296,50.294317,18.673274,15.0,1,1078,977,1166,1059,50.294263,18.673302,0.8472
297,50.294317,18.673274,15.0,1,1082,976,1168,1060,50.294263,18.673302,0.8445
298,50.294317,18.673274,15.0,1,1086,976,1176,1062,50.294263,18.673303,0.8162
299,50.294317,18.673274,15.0,1,1088,978,1178,1063,50.294262,18.673304,0.8268
300,50.294315,18.673231,15.0,1,1092,978,1180,1064,50.29426,18.673261,0.8141
301,50.294315,18.673231,15.0,1,1094,979,1182,1065,50.29426,18.673262,0.8107
302,50.294315,18.673231,15.0,1,1096,979,1186,1064,50.29426,18.673262,0.7816
303,50.294315,18.673231,15.0,1,1098,978,1188,1065,50.29426,18.673262,0.8208
304,50.294315,18.673231,15.0,1,1102,979,1192,1066,50.29426,18.673263,0.8384
305,50.294315,18.673231,15.0,1,1108,979,1196,1066,50.29426,18.673264,0.8458
306,50.294315,18.673231,15.0,1,1110,979,1198,1067,50.29426,18.673264,0.8366
307,50.294315,18.673231,15.0,1,1114,979,1200,1067,50.29426,18.673265,0.8399
